CAPEX(CHF),CO2 Emissions(tons)
1531265.18,7650.00
1492223.76,7800.00
1453182.33,7950.00
1426955.52,8100.00
1401195.05,8250.00
1375434.57,8400.00
1350060.40,8550.00
1325640.17,8700.00
1301219.94,8850.00
1276799.70,9000.00
1255620.96,9150.00
1245157.84,9300.00
1234694.71,9450.00
1224270.56,9600.00
1214351.80,9750.00
1204433.04,9900.00
1194514.29,10050.00
1184595.53,10200.00
1174676.77,10350.00
1164758.02,10500.00
1151074.40,10650.00
1141155.65,10800.00
1131236.89,10950.00
1121318.13,11100.00
1111399.38,11250.00
1101480.62,11400.00
1091939.36,11550.00
1082833.94,11700.00
1079934.57,11800.78
1055658.17,12500.00
1019576.18,12650.00
1017510.09,12800.00
1007571.39,12838.19
